category,type of issue,funds lost,rugged_date,symbol,name,id,price_float,market_cap_float,volume,wasrekt,contract_chain,contract_address
Token,Honeypot,,2021-05-28,1000x,1000xcoin,1000x-by-virtuals,0.004968925,,105980.0,1,base,0x352b850b733ab8bab50aed1dab5d22e3186ce984
Token,Honeypot,,2021-05-28,1000x,1000xcoin,1000x-by-virtuals,0.00310803,,,1,base,0x352b850b733ab8bab50aed1dab5d22e3186ce984
Token,Honeypot,,2021-04-24,1mil,1milnft,1million-nfts,1.145,,200685.0,1,"ethereum, near-protocol","0xa4ef4b0b23c1fc81d3f9ecf93510e64f58a4a016, a4ef4b0b23c1fc81d3f9ecf93510e64f58a4a016.factory.bridge.near"
Token,Honeypot,,2021-04-24,1mil,1milnft,1million-nfts,1.135,,,1,"ethereum, near-protocol","0xa4ef4b0b23c1fc81d3f9ecf93510e64f58a4a016, a4ef4b0b23c1fc81d3f9ecf93510e64f58a4a016.factory.bridge.near"
Token,Honeypot,,2021-03-16,888,mhp88,888-token,0.096283,,833745.0,1,solana,888R77WmcLJKyGeJjk1WktFAB5u5fkvmokHYsAu6Spyd
Token,Honeypot,,2021-03-16,888,mhp88,888-token,0.0967615,,,1,solana,888R77WmcLJKyGeJjk1WktFAB5u5fkvmokHYsAu6Spyd
Token,Rugpull,,2021-08-25,trip,tripland,a-trippy-ape,1.5765e-05,,38.98,1,apechain,0xf8efb9febf77d265b8b6cb5de6dd0d9dc5591856
Token,Rugpull,,2021-08-25,trip,tripland,a-trippy-ape,1.658e-05,,,1,apechain,0xf8efb9febf77d265b8b6cb5de6dd0d9dc5591856
Token,Honeypot,,2021-06-06,agn,argonnetwork,agnus-ai,0.00010559,,8444.76,1,ethereum,0x550775e17ed6767621a1aed580e6eb29ede981e9
Token,Honeypot,,2021-06-06,agn,argonnetwork,agnus-ai,9.9715e-05,,,1,ethereum,0x550775e17ed6767621a1aed580e6eb29ede981e9
Token,Rugpull,"$152,000",2022-11-16,ait,artificial inte...,ai-trader-agent,0.000461065,,14444.09,1,solana,D4G7rpcQBF5oVQwBzoDwHPiweJ5RYvuEVGdxqmPApump
Token,Rugpull,"$152,000",2022-11-16,ait,artificial inte...,ai-trader-agent,0.000489005,,,1,solana,D4G7rpcQBF5oVQwBzoDwHPiweJ5RYvuEVGdxqmPApump
Token,Rugpull,"$34,000",2023-02-08,aki,akiinutoken,aki-protocol,0.010015055,,3800882.0,1,polygon-pos,0x1a7e49125a6595588c9556f07a4c006461b24545
Token,Rugpull,"$34,000",2023-02-08,aki,akiinutoken,aki-protocol,0.01051431,,,1,polygon-pos,0x1a7e49125a6595588c9556f07a4c006461b24545
Token,Honeypot,,2021-05-16,alaska,alaskan,alaska,0.000134335,,5533.05,1,solana,s3ghbbWBTtMizNJKGmeMBd1URpisoQJxuDLrheEX61g
Token,Honeypot,,2021-05-16,alaska,alaskan,alaska,0.000118325,,,1,solana,s3ghbbWBTtMizNJKGmeMBd1URpisoQJxuDLrheEX61g
Token,Honeypot,,2021-04-10,alphr,alphr.finance,alphr,0.7761285,,2516753.0,1,ethereum,0xaa99199d1e9644b588796f3215089878440d58e0
Token,Honeypot,,2021-04-10,alphr,alphr.finance,alphr,0.7539095,,,1,ethereum,0xaa99199d1e9644b588796f3215089878440d58e0
Token,Honeypot,,2021-06-05,amc,wrapped amc,amc-3,2.45e-08,,176614.0,1,ethereum,0x426a688ee72811773eb64f5717a32981b56f10c1
Token,Honeypot,,2021-06-05,amc,wrapped amc,amc-3,2.28e-08,,,1,ethereum,0x426a688ee72811773eb64f5717a32981b56f10c1
Token,Rugpull,"$340,061",2023-04-07,atf,atf token,antfarm-token,0.138376,,3003.04,1,"ethereum, polygon-zkevm, avalanche, arbitrum-one","0x518b63da813d46556fea041a88b52e3caa8c16a8, 0x40df0c3bbaae5ea3a509d8f2aa9e086776c98e6c, 0x8af94528fbe3c4c148523e7aad48bcebcc0a71d7, 0xfb9fbcb328317123f5275cda30b6589d5841216b"
Token,Rugpull,"$340,061",2023-04-07,atf,atf token,antfarm-token,0.138112,,,1,"ethereum, polygon-zkevm, avalanche, arbitrum-one","0x518b63da813d46556fea041a88b52e3caa8c16a8, 0x40df0c3bbaae5ea3a509d8f2aa9e086776c98e6c, 0x8af94528fbe3c4c148523e7aad48bcebcc0a71d7, 0xfb9fbcb328317123f5275cda30b6589d5841216b"
Token,Rugpull,,2021-08-26,anti,antisocial.fina...,antitoken,0.001208785,,138483.0,1,solana,HB8KrN7Bb3iLWUPsozp67kS4gxtbA4W5QJX4wKPvpump
Token,Rugpull,,2021-08-26,anti,antisocial.fina...,antitoken,0.001215755,,,1,solana,HB8KrN7Bb3iLWUPsozp67kS4gxtbA4W5QJX4wKPvpump
Token,Honeypot,,2021-02-26,api,dorgdao,apicoin,0.000445375,,8185.87,1,solana,HmJ8VR1ugamWJTecfcNpmCG1hviMRWNXp7Pq68fzpump
Token,Honeypot,,2021-02-26,api,dorgdao,apicoin,0.000523305,,,1,solana,HmJ8VR1ugamWJTecfcNpmCG1hviMRWNXp7Pq68fzpump
Token,Rugpull,"$204,259",2022-07-15,apc,arenaplayapc,apin-pulse,1.6265e-05,,14020.54,1,pulsechain,0xbb101431d43b0e1fc31f000bf96826794806e0b4
Token,Rugpull,"$204,259",2022-07-15,apc,arenaplayapc,apin-pulse,1.6265e-05,,,1,pulsechain,0xbb101431d43b0e1fc31f000bf96826794806e0b4
Token,Honeypot,"$31,056",2020-12-06,apollo,apollo swap,apollo-3,165.6,,1701.45,1,solana,AY88hS3S3fkDtkSc7abEkYjcNsxuCiGD8Lq4PmwakZuL
Token,Honeypot,"$31,056",2020-12-06,apollo,apollo swap,apollo-3,183.075,,,1,solana,AY88hS3S3fkDtkSc7abEkYjcNsxuCiGD8Lq4PmwakZuL
Token,Honeypot,,2021-04-14,apn,apron network,apron,0.06033,,1721376.0,1,ethereum,0xd4342a57ecf2fe7ffa37c33cb8f63b1500e575e6
Token,Honeypot,,2021-04-14,apn,apron network,apron,0.057407,,,1,ethereum,0xd4342a57ecf2fe7ffa37c33cb8f63b1500e575e6
Token,Rugpull,"$207,371",2023-06-30,arch,archway fake,archway,0.051074,,11780.88,1,"archway, osmosis","aarch, ibc/23AB778D694C1ECFC59B91D8C399C115CC53B0BD1C61020D8E19519F002BDD85"
Token,Rugpull,"$207,371",2023-06-30,arch,archway fake,archway,0.050254,,,1,"archway, osmosis","aarch, ibc/23AB778D694C1ECFC59B91D8C399C115CC53B0BD1C61020D8E19519F002BDD85"
Token,Honeypot,,2021-04-25,ares,ares protocol,ares-protocol,0.026267595,,2096182.0,1,"ethereum, binance-smart-chain","0x358aa737e033f34df7c54306960a38d09aabd523, 0xf9752a6e8a5e5f5e6eb3ab4e7d8492460fb319f0"
Token,Honeypot,,2021-04-25,ares,ares protocol,ares-protocol,0.032760435,,,1,"ethereum, binance-smart-chain","0x358aa737e033f34df7c54306960a38d09aabd523, 0xf9752a6e8a5e5f5e6eb3ab4e7d8492460fb319f0"
Token,Honeypot,,2021-05-17,argo,argoapp,argo-finance,0.01825545,,64627.0,1,cronos,0x47a9d630dc5b28f75d3af3be3aaa982512cd89aa
Token,Honeypot,,2021-05-17,argo,argoapp,argo-finance,0.017341315,,,1,cronos,0x47a9d630dc5b28f75d3af3be3aaa982512cd89aa
